id,sender,subject,body,received_at
mock_001,billing@stripe.com,Payment failed for invoice #1042,We were unable to charge your card ending in 4242 for invoice #1042 ($249.00). Please update your payment method to avoid service interruption.,2026-06-07T09:15:00Z
mock_002,accounting@quickbooks.com,Invoice #8901 is now overdue,Your invoice #8901 in the amount of $1,200.00 was due on June 1st and is now 6 days overdue. Please remit payment immediately to avoid late fees.,2026-06-07T09:30:00Z
mock_003,support@chase.com,Your card was declined for a recurring charge,A recurring charge of $49.99 was declined on your Chase business card ending in 9812. Your bank may need to verify this transaction.,2026-06-07T10:00:00Z
mock_004,sarah.johnson@clientcorp.com,Extremely disappointed with your service,I am writing to express my extreme disappointment with the level of service we have received over the past month. Our account manager has been unresponsive and we are considering taking our business elsewhere.,2026-06-07T10:15:00Z
mock_005,mike@startup.io,Urgent: possible data loss in production,We noticed that user data from the past 48 hours may have been lost due to a replication failure. This is urgent — please investigate immediately and restore from backups.,2026-06-07T10:45:00Z
mock_006,legal@merchant-processor.com,Threatening chargeback on order #3382,"Our records show a chargeback has been initiated for order #3382 in the amount of $3,450. The customer claims they did not authorize this transaction.",2026-06-07T11:00:00Z
mock_007,alerts@datadog.com,ALERT: Production DB unreachable on primary region,CRITICAL: The primary production database in us-east-1 has been unreachable for 3 minutes. Automatic failover to us-west-2 has been initiated.,2026-06-07T11:30:00Z
mock_008,infra@cloudwatch.aws.com,CPU utilization exceeded 98% threshold,ALARM: CPU utilization on instance i-0f9a8e2c1d3b4a5f6 has exceeded 98% for the past 15 minutes. Auto-scaling has been triggered.,2026-06-07T12:00:00Z
mock_009,emily@clientcorp.com,Need the proposal by EOD today,Hi team our board meeting was moved up to tomorrow morning. We absolutely need the Q3 proposal and pricing by 6 PM today.,2026-06-07T12:30:00Z
mock_010,david@partnerfirm.com,Can we jump on a call right now?,We have a critical issue with the API integration that needs immediate clarification. Are you free for a quick 15-minute call?,2026-06-07T13:00:00Z
mock_011,receipts@netflix.com,Your Netflix subscription receipt — June 2026,Thank you for being a Netflix member. Your monthly charge of $15.99 for the Standard plan has been processed.,2026-06-07T14:00:00Z
mock_012,notifications@github.com,GitHub Actions: build #4723 completed,Build #4723 (main) completed successfully in 4m 32s. 3 jobs passed.,2026-06-07T14:30:00Z
mock_013,billing@spotify.com,Your Spotify Premium plan has been renewed,Your Spotify Premium Individual plan has been renewed. $9.99 will be charged to your payment method on file.,2026-06-07T15:00:00Z
mock_014,prizes@luckywinner.com,CONGRATULATIONS! You won a $1,000 gift card!,You have been selected as the winner of our monthly draw! Click here to claim your $1,000 Amazon gift card.,2026-06-07T15:30:00Z
mock_015,digest@medium.com,Your weekly reading digest,Here are the top stories we think you'll enjoy this week.,2026-06-07T16:00:00Z
mock_016,newsletter@techcrunch.com,TechCrunch Daily: AI startups raise $2B this week,In today's edition: AI funding frenzy continues Apple announces new chip and Tesla's robotaxi plans revealed.,2026-06-07T16:30:00Z
mock_017,spammer@mailing-list.com,Unsubscribe from our emails,You are receiving this email because you signed up for our newsletter. If you wish to unsubscribe click the link at the bottom.,2026-06-07T17:00:00Z
mock_018,hr@company.com,Updated company holiday schedule for 2026,Please find attached the updated holiday schedule for the remainder of 2026. Key changes include an extra floating holiday.,2026-06-07T09:00:00Z
mock_019,it-support@company.com,Password reset requested for your account,A password reset was requested for your corporate account. If you did not make this request please contact IT security immediately.,2026-06-07T08:30:00Z
mock_020,lunch@ordereats.com,Your DoorDash order #8842 has been delivered,Your DoorDash order from Sweetgreen has been delivered to the office reception. Enjoy your meal!,2026-06-07T12:15:00Z
mock_021,noreply@linkedin.com,You have 5 new connection requests,5 people want to connect with you on LinkedIn. View their profiles and accept or decline these requests.,2026-06-07T18:00:00Z
mock_022,security@cloudflare.com,ALERT: DDoS attack mitigated on your domain,Cloudflare automatically mitigated a DDoS attack targeting yourdomain.com. Peak traffic reached 1.2 Gbps. No downtime occurred.,2026-06-07T19:00:00Z
